X,Y,Z,E
145,50,10,0
145,50,0,0
144.9954,49.4764,0,0
144.9817,48.953,0,0
144.9589,48.4299,0,0
144.9269,47.9073,0,0
144.8858,47.3853,0,0
144.8357,46.8641,0,0
144.7764,46.3439,0,0
144.708,45.8248,0,0
144.6307,45.307,0,0
144.5442,44.7906,0,0
144.4488,44.2757,0,0
144.3444,43.7626,0,0
144.2311,43.2515,0,0
144.1089,42.7423,0,0
143.9778,42.2354,0,0
143.8379,41.7309,0,0
143.6891,41.2288,0,0
143.5317,40.7295,0,0
143.3656,40.233,0,0
143.1908,39.7394,0,0
143.0074,39.249,0,0
142.8155,38.7618,0,0
142.6151,38.2781,0,0
142.4064,37.7979,0,0
142.1892,37.3215,0,0
141.9638,36.8489,0,0
141.7302,36.3803,0,0
141.4884,35.9159,0,0
141.2386,35.4557,0,0
140.9808,35,0,0
140.715,34.5489,0,0
140.4414,34.1024,0,0
140.1601,33.6608,0,0
139.8711,33.2242,0,0
139.5746,32.7927,0,0
139.2705,32.3664,0,0
138.9591,31.9455,0,0
138.6403,31.5302,0,0
138.3144,31.1204,0,0
137.9813,30.7164,0,0
137.6413,30.3182,0,0
137.2943,29.9261,0,0
136.9406,29.54,0,0
136.5802,29.1602,0,0
136.2132,28.7868,0,0
135.8398,28.4198,0,0
135.46,28.0594,0,0
135.0739,27.7057,0,0
134.6818,27.3587,0,0
134.2836,27.0187,0,0
133.8796,26.6856,0,0
133.4698,26.3597,0,0
133.0545,26.0409,0,0
132.6336,25.7295,0,0
132.2073,25.4254,0,0
131.7758,25.1289,0,0
131.3392,24.8399,0,0
130.8976,24.5586,0,0
130.4511,24.285,0,0
130,24.0192,0,0
129.5443,23.7614,0,0
129.0841,23.5116,0,0
128.6197,23.2698,0,0
128.1511,23.0362,0,0
127.6785,22.8108,0,0
127.2021,22.5936,0,0
126.7219,22.3849,0,0
126.2382,22.1845,0,0
125.751,21.9926,0,0
125.2606,21.8092,0,0
124.767,21.6344,0,0
124.2705,21.4683,0,0
123.7712,21.3109,0,0
123.2691,21.1621,0,0
122.7646,21.0222,0,0
122.2577,20.8911,0,0
121.7485,20.7689,0,0
121.2374,20.6556,0,0
120.7243,20.5512,0,0
120.2094,20.4558,0,0
119.693,20.3693,0,0
119.1752,20.292,0,0
118.6561,20.2236,0,0
118.1359,20.1643,0,0
117.6147,20.1142,0,0
117.0927,20.0731,0,0
116.5701,20.0411,0,0
116.047,20.0183,0,0
115.5236,20.0046,0,0
115,20,0,0
114.4764,20.0046,0,0
113.953,20.0183,0,0
113.4299,20.0411,0,0
112.9073,20.0731,0,0
112.3853,20.1142,0,0
111.8641,20.1643,0,0
111.3439,20.2236,0,0
110.8248,20.292,0,0
110.307,20.3693,0,0
109.7906,20.4558,0,0
109.2757,20.5512,0,0
108.7626,20.6556,0,0
108.2515,20.7689,0,0
107.7423,20.8911,0,0
107.2354,21.0222,0,0
106.7309,21.1621,0,0
106.2288,21.3109,0,0
105.7295,21.4683,0,0
105.233,21.6344,0,0
104.7394,21.8092,0,0
104.249,21.9926,0,0
103.7618,22.1845,0,0
103.2781,22.3849,0,0
102.7979,22.5936,0,0
102.3215,22.8108,0,0
101.8489,23.0362,0,0
101.3803,23.2698,0,0
100.9159,23.5116,0,0
100.4557,23.7614,0,0
100,24.0192,0,0
99.5489,24.285,0,0
99.1024,24.5586,0,0
98.6608,24.8399,0,0
98.2242,25.1289,0,0
97.7927,25.4254,0,0
97.3664,25.7295,0,0
96.9455,26.0409,0,0
96.5302,26.3597,0,0
96.1204,26.6856,0,0
95.7164,27.0187,0,0
95.3182,27.3587,0,0
94.9261,27.7057,0,0
94.54,28.0594,0,0
94.1602,28.4198,0,0
93.7868,28.7868,0,0
93.4198,29.1602,0,0
93.0594,29.54,0,0
92.7057,29.9261,0,0
92.3587,30.3182,0,0
92.0187,30.7164,0,0
91.6856,31.1204,0,0
91.3597,31.5302,0,0
91.0409,31.9455,0,0
90.7295,32.3664,0,0
90.4254,32.7927,0,0
90.1289,33.2242,0,0
89.8399,33.6608,0,0
89.5586,34.1024,0,0
89.285,34.5489,0,0
89.0192,35,0,0
